about_property,address,allowed_floors,boundary_walls,plot_area,price,price_per,tranjection_type,width_facing_road
,"Badgaon, Udaipur",,No,(130.06 sq.m.), 23.5 Lac," 1,679 per sq.ft.  ",,35.0 Feet
,"Sector-14 Hiran Magri, Udaipur",3 Floors,No,(116.13 sq.m.), 51 Lac," 4,100 per sq.ft.  ",,30.0 Feet
,"Chitrakoot Nagar, Udaipur",,No,(323.86 sq.m.), 97.6 Lac," 2,799 per sq.ft. ",,40.0 Feet
,"UIT UDAIPUR , Chitrakoot Nagar, Udaipur",,No,, 80 Lac," 44,444 per sq.m.  ",,
,"Sneh City, Bhatewar, Udaipur",5 Floors,Yes,(92.9 sq.m.), 4.01 Lac, 401 per sq.ft.  ,,30.0 Feet
,"Chitrakut Nagar, Bhuwana Road, Udaipur",1 Floors,No,(323.86 sq.m.), 1.05 Crore," 3,000 per sq.ft.  ",,
,"Balicha, Udaipur",2 Floors,Yes,(139.35 sq.m.), 15 Lac," 1,000 per sq.ft. ",,60.0 Feet
,"Residential plot, Dakan kotra, Udaipur",3 Floors,No,(167.23 sq.m.), 10.8 Lac, 600 per sq.ft.  ,,40.0 Feet
,"Mines, Dhariyavad, Udaipur",0 Floors,Yes,(4046.86 sq.m.), 2 Crore," 20,000,000 per acres  ",,
,"Savina, Udaipur",3 Floors,Yes,(28.8 sq.m.), 60 Lac," 18,709 per sq.ft. ",,30.0 Feet
,"B Block, Meera Nagar, Udaipur",,No,, 1 Crore," 39,682 per sq.m. ",,30.0 Feet
,"Sector-9 Udaipur, Udaipur",2 Floors,Yes,(109.63 sq.m.), 44 Lac," 3,728 per sq.ft. ",,30.0 Feet
,"Gayariawas, Udaipur",,No,(92.9 sq.m.), 42 Lac," 4,200 per sq.ft.  ",,
,"Harishyam Vihar, Keshav Nagar, Udaipur",3 Floors,No,(139.35 sq.m.), 60 Lac," 4,000 per sq.ft.  ",,60.0 Feet
,"Bhinder, Udaipur",0 Floors,Yes,(371.61 sq.m.), 85 Lac," 2,125 per sq.ft. ",,
,"Dabok, Udaipur",3 Floors,No,(116.13 sq.m.), 25 Lac," 2,000 per sq.ft. ",,30.0 Feet
,"tiger hills, Udaipur",,Yes,(929.03 sq.m.), 3 Crore," 3,000 per sq.ft. ",,40.0 Feet
,"Sector-3 Hiran Magri, Udaipur",,Yes,(743.22 sq.m.), 9 Crore," 11,250 per sq.ft. ",,
,"near marvel water park, Udaipur",2 Floors,No,(98.66 sq.m.), 31.88 Lac," 3,002 per sq.ft. ",,30.0 Feet
,"Airport Road, Udaipur",,No,(2043.87 sq.m.), 73.53 Lac, 335 per sq.ft. ,,
,"Nakoda Vihar, Umarda, Udaipur",0 Floors,No,(139.35 sq.m.), 11 Lac, 733 per sq.ft. ,,30.0 Feet
,"Meera Nagar, Udaipur",,Yes,(181.16 sq.m.), 78 Lac," 4,000 per sq.ft.  ",,30.0 Feet
,"Ashirwad colony, Udaipur",,No,(146.32 sq.m.), 70.88 Lac," 4,500 per sq.ft. ",,30.0 Feet
,"Meera Nagar, Udaipur",,Yes,(179.86 sq.m.), 77.44 Lac," 4,000 per sq.ft.  ",,30.0 Feet
,"Meera Nagar, Udaipur",,Yes,(188.87 sq.m.), 81.32 Lac," 4,000 per sq.ft.  ",,30.0 Feet
,"Chitrakoot Nagar, Udaipur",,No,(323.86 sq.m.), 1.25 Crore," 3,600 per sq.ft. ",,200.0 Feet
,"sobhagpura, Udaipur",3 Floors,No,(371.61 sq.m.), 2 Crore," 5,000 per sq.ft.  ",,40.0 Feet
,"sardar pura, Udaipur",3 Floors,Yes,(185.81 sq.m.), 50 Lac," 2,500 per sq.ft. ",,15.0 Feet
,"Nela, jogitalab, Udaipur",,Yes,(260.13 sq.m.), 56 Lac," 2,000 per sq.ft. ",,100.0 Feet
,"Residential Plot, Lakhwali Near TATSAARASA resort, Udaipur",2 Floors,No,(115.2 sq.m.), 8 Lac, 524 per sq.ft. ,,30.0 Feet
,"Meera Nagar, Udaipur",,Yes,(260.13 sq.m.), 1.26 Crore," 4,500 per sq.ft.  ",,60.0 Feet
,"Dakan kotra udaipur rajasthan, Dakan kotra, Udaipur",,Yes,(4552.25 sq.m.), 2.06 Crore, 420 per sq.ft.  ,,
,"Umarda, Udaipur",0 Floors,No,(130.06 sq.m.), 15 Lac," 1,072 per sq.ft. ",,
